"","X","itemname","mealtype","quantity","quantitytype","datesort","itemid","mealtypeid"
"633",881,"Meat Sauce","",4,"Pound",45,199,1
"648",912,"Meat Sauce","",8.6,"Pound",172,199,1
"664",937,"Meat Sauce","",0.4,"Pound",178,199,1
"683",968,"Meat Sauce","",10.6,"Pound",180,199,1
"694",982,"Meat Sauce","",1,"Pound",181,199,1
"703",994,"Meat Sauce","",6.8,"Pound",183,199,1
"708",1004,"Meat Sauce","",9,"Pound",183,199,1
"737",1040,"Meat Sauce","",0.2,"Pound",185,199,1
"755",1071,"Meat Sauce","",1.8,"Pound",187,199,1
"763",1081,"Meat Sauce","",5,"Pound",188,199,1
"799",1152,"Meat Sauce","",2,"Pound",192,199,1
"805",1158,"Meat Sauce","",1.5,"Pound",193,199,1
"814",1178,"Meat Sauce","",5,"Pound",194,199,1
"845",1226,"Meat Sauce","",3.2,"Pound",198,199,1
"854",1235,"Meat Sauce","",6.2,"Pound",199,199,1
"865",1247,"Meat Sauce","",7.4,"Pound",200,199,1
"908",1322,"Meat Sauce","",0.2,"Pound",205,199,1
"925",1373,"Meat Sauce","",3,"Pound",208,199,1
"979",1461,"Meat Sauce","",1.8,"Pound",215,199,1
"1007",1506,"Meat Sauce","",12,"Pound",218,199,1
"1008",1508,"Meat Sauce","",9,"Pound",218,199,1
"1022",1525,"Meat Sauce","",5.3,"Pound",219,199,1
"1037",1559,"Meat Sauce","",3.6,"Pound",221,199,1
"1052",1575,"Meat Sauce","",1.3,"Pound",223,199,1
"1056",1579,"Meat Sauce","",3,"Pound",224,199,1
"1060",1587,"Meat Sauce","",1.5,"Pound",224,199,1
"1072",1603,"Meat Sauce","",2.5,"Pound",225,199,1
"1101",1641,"Meat Sauce","",2.9,"Pound",228,199,1
"1116",1664,"Meat Sauce","",2.7,"Pound",230,199,1
"1136",1714,"Meat Sauce","",4,"Pound",233,199,1
"1149",1739,"Meat Sauce","",2.3,"Pound",235,199,1
"1165",1767,"Meat Sauce","",9,"Pound",237,199,1
"1166",1768,"Meat Sauce","",9,"Pound",237,199,1
"1185",1817,"Meat Sauce","",4.6,"Pound",241,199,1
"1203",1847,"Meat Sauce","",2.4,"Pound",254,199,1
"1211",1855,"Meat Sauce","",2,"Pound",256,199,1
"1212",1856,"Meat Sauce","",2,"Pound",256,199,1
"1234",1897,"Meat Sauce","",3.2,"Pound",259,199,1
"1243",1911,"Meat Sauce","",1.6,"Pound",260,199,1
"1271",1959,"Meat Sauce","",3,"Pound",263,199,1
"1295",1992,"Meat Sauce","",4,"Pound",266,199,1
"1322",2055,"Meat Sauce","",4.5,"Pound",270,199,1
"1344",2084,"Meat Sauce","",1.5,"Pound",300,199,1
"1354",2095,"Meat Sauce","",4.6,"Pound",301,199,1
"1370",2115,"Meat Sauce","",11,"Pound",302,199,1
"1378",2124,"Meat Sauce","",9,"Pound",302,199,1
"1410",2168,"Meat Sauce","",5.8,"Pound",305,199,1
"1418",2176,"Meat Sauce","",8.1,"Pound",306,199,1
"1434",2203,"Meat Sauce","",8.1,"Pound",308,199,1
"1452",2234,"Meat Sauce","",1,"Pound",311,199,1
"1463",2246,"Meat Sauce","",6,"Pound",312,199,1
"1478",2263,"Meat Sauce","",7,"Pound",313,199,1
"1488",2280,"Meat Sauce","",2,"Pound",317,199,1
"1497",2291,"Meat Sauce","",3.5,"Pound",318,199,1
"1506",2305,"Meat Sauce","",11,"Pound",320,199,1
"1524",2335,"Meat Sauce","",1.4,"Pound",323,199,1
"1536",2349,"Meat Sauce","",1,"Pound",324,199,1
"1551",2381,"Meat Sauce","",4.3,"Pound",326,199,1
"1561",2419,"Meat Sauce","",1.8,"Pound",329,199,1
"1574",2442,"Meat Sauce","",3.4,"Pound",330,199,1
"1581",2454,"Meat Sauce","",7.4,"Pound",331,199,1
"1585",2458,"Meat Sauce","",8,"Pound",331,199,1
"1593",2469,"Meat Sauce","",5.6,"Pound",332,199,1
"1596",2472,"Meat Sauce","",3.4,"Pound",332,199,1
"1617",2507,"Meat Sauce","",5,"Pound",336,199,1
"1647",2567,"Meat Sauce","",4.2,"Pound",341,199,1
"1663",2604,"Meat Sauce","",4.6,"Pound",344,199,1
"1683",2628,"Meat Sauce","",6,"Pound",347,199,1
"1699",2655,"Meat Sauce","",2.5,"Pound",350,199,1
"1712",2671,"Meat Sauce","",2.7,"Pound",351,199,1
"1719",2680,"Meat Sauce","",0.5,"Pound",352,199,1
"1723",2685,"Meat Sauce","",8,"Pound",353,199,1
"1727",2692,"Meat Sauce","",3.6,"Pound",354,199,1
"1735",2702,"Meat Sauce","",1.5,"Pound",364,199,1
"1758",2728,"Meat Sauce","",6.1,"Pound",366,199,1
"1768",2742,"Meat Sauce","",2,"Pound",367,199,1
"1778",2754,"Meat Sauce","",5.6,"Pound",368,199,1
"1789",2765,"Meat Sauce","",1.7,"Pound",371,199,1
"1797",2773,"Meat Sauce","",4,"Pound",372,199,1
"1807",2783,"Meat Sauce","",1,"Pound",373,199,1
"1810",2789,"Meat Sauce","",2,"Pound",373,199,1
"1811",2790,"Meat Sauce","",2,"Pound",373,199,1
"1818",2804,"Meat Sauce","",2,"Pound",375,199,1
"1830",2821,"Meat Sauce","",2.4,"Pound",376,199,1
"1845",2844,"Meat Sauce","",1.4,"Pound",378,199,1
"1854",2857,"Meat Sauce","",1,"Pound",379,199,1
"1859",2867,"Meat Sauce","",1.7,"Pound",380,199,1
"1874",2890,"Meat Sauce","",2.6,"Pound",384,199,1
"1879",2899,"Meat Sauce","",1.7,"Pound",385,199,1
"1888",2922,"Meat Sauce","",2.5,"Pound",389,199,1
"1895",2932,"Meat Sauce","",1,"Pound",390,199,1
"1901",2945,"Meat Sauce","",5.5,"Pound",392,199,1
"1919",2965,"Meat Sauce","",3.4,"Pound",393,199,1
"1935",2991,"Meat Sauce","",2,"Pound",395,199,1
"1948",3004,"Meat Sauce","",1.2,"Pound",396,199,1
"1961",3024,"Meat Sauce","",3,"Pound",397,199,1
"1974",3039,"Meat Sauce","",10.5,"Pound",400,199,1
"1979",3045,"Meat Sauce","",1.1,"Pound",401,199,1
"1984",3054,"Meat Sauce","",5.2,"Pound",401,199,1
"1991",3064,"Meat Sauce","",4.1,"Pound",402,199,1
"2003",3078,"Meat Sauce","",1.4,"Pound",403,199,1
"2014",3089,"Meat Sauce","",3,"Pound",403,199,1
"2024",3113,"Meat Sauce","",1.3,"Pound",407,199,1
"2036",3132,"Meat Sauce","",1.5,"Pound",408,199,1
"2049",3150,"Meat Sauce","",3.8,"Pound",476,199,1
"2050",3151,"Meat Sauce","",3.8,"Pound",476,199,1
"2061",3162,"Meat Sauce","",6,"Pound",476,199,1
"2067",3183,"Meat Sauce","",0.5,"Pound",477,199,1
"2117",3318,"Meat Sauce","",5.6,"Pound",485,199,1
"2144",3346,"Meat Sauce","",2.3,"Pound",487,199,1
"2169",3385,"Meat Sauce","",7,"Pound",489,199,1
"2201",3436,"Meat Sauce","",6.8,"Pound",493,199,1
"2219",3485,"Meat Sauce","",1,"Pound",499,199,1
"2275",3593,"Meat Sauce","",1.8,"Pound",531,199,1
"2295",3619,"Meat Sauce","",3,"Pound",533,199,1
"2324",3668,"Meat Sauce","",7.8,"Pound",548,199,1
"2357",3747,"Meat Sauce","",5.8,"Pound",569,199,1
"2365",3757,"Meat Sauce","",3,"Pound",570,199,1
"2373",3770,"Meat Sauce","",3.2,"Pound",574,199,1
"2394",3802,"Meat Sauce","",3,"Pound",578,199,1
"2408",3831,"Meat Sauce","",5,"Pound",584,199,1
"2434",3890,"Meat Sauce","",2.6,"Pound",591,199,1
"2442",3914,"Meat Sauce","",5,"Pound",594,199,1
"2470",3955,"Meat Sauce","",5.6,"Pound",597,199,1
"2479",3987,"Meat Sauce","",6,"Pound",601,199,1
"2486",3999,"Meat Sauce","",0.5,"Pound",602,199,1
"2502",4035,"Meat Sauce","",5,"Pound",606,199,1
"2507",4042,"Meat Sauce","",2,"Pound",617,199,1
"2537",4098,"Meat Sauce","",0.4,"Pound",630,199,1
"2550",4118,"Meat Sauce","",8.6,"Pound",632,199,1
"2577",4195,"Meat Sauce","",1,"Pound",671,199,1
"2588",4236,"Meat Sauce","",2,"Pound",675,199,1
"2601",4253,"Meat Sauce","",3.4,"Pound",677,199,1
"2610",4271,"Meat Sauce","",2,"Pound",679,199,1
"2619",4283,"Meat Sauce","",2.6,"Pound",680,199,1
"2623",4287,"Meat Sauce","",2.6,"Pound",681,199,1
"2637",4302,"Meat Sauce","",2.4,"Pound",684,199,1
"2654",4321,"Meat Sauce","",0.5,"Pound",687,199,1
"2667",4342,"Meat Sauce","",4.1,"Pound",689,199,1
"2676",4358,"Meat Sauce","",3.6,"Pound",691,199,1
"2687",4384,"Meat Sauce","",3.1,"Pound",695,199,1
"2693",4393,"Meat Sauce","",2,"Pound",695,199,1
"2694",4395,"Meat Sauce","",4,"Pound",696,199,1
"2712",4427,"Meat Sauce","",4,"Pound",700,199,1
"2732",4450,"Meat Sauce","",2.5,"Pound",701,199,1
"2741",4462,"Meat Sauce","",0.9,"Pound",702,199,1
"2753",4479,"Meat Sauce","",2.1,"Pound",704,199,1
"2765",4496,"Meat Sauce","",2.2,"Pound",705,199,1
"2769",4503,"Meat Sauce","",3,"Pound",707,199,1
"2776",4515,"Meat Sauce","",0.5,"Pound",708,199,1
"2824",4616,"Meat Sauce","Dinner",8.8,"Pound",729,199,3
"2825",4621,"Meat Sauce","Lunch",15,"Pound",730,199,4
"2826",4624,"Meat Sauce","Dinner",8,"Pound",731,199,3
"2853",4673,"Meat Sauce","Lunch",5,"Pound",737,199,4
"2858",4679,"Meat Sauce","Dinner",2.1,"Pound",738,199,3
"2870",4703,"Meat Sauce","Dinner",2,"Pound",742,199,3
"2883",4758,"Meat Sauce","Dinner",7.8,"Pound",747,199,3
"2891",4775,"Meat Sauce","Dinner",1,"Pound",749,199,3
"2897",4812,"Meat Sauce","Dinner",2,"Pound",752,199,3
"2911",4860,"Meat Sauce","Dinner",6,"Pound",761,199,3
"2914",4874,"Meat Sauce","Dinner",5,"Pound",764,199,3
"2920",4886,"Meat Sauce","Dinner",4.6,"Pound",765,199,3
"2962",4966,"Meat Sauce","Lunch",3,"Pound",1032,199,4
"2965",4969,"Meat Sauce","Dinner",5,"Pound",1032,199,3
"2970",4974,"Meat Sauce","Dinner",6,"Pound",1033,199,3
"2990",4994,"Meat Sauce","Dinner",2,"Pound",1036,199,3
"3013",5020,"Meat Sauce","Dinner",1.5,"Pound",1041,199,3
"3063",5074,"Meat Sauce","Dinner",3,"Pound",1050,199,3
"3075",5087,"Meat Sauce","Lunch",2.9,"Pound",1052,199,4
"3084",5096,"Meat Sauce","Dinner",2.7,"Pound",1052,199,3
"3106",5123,"Meat Sauce","Dinner",4.8,"Pound",1056,199,3
"3107",5124,"Meat Sauce","Dinner",1.8,"Pound",1057,199,3
"3134",5151,"Meat Sauce","Dinner",1.8,"Pound",1059,199,3
