"","itemname","mealtype","quantity","datesort","itemid","mealtypeid"
"117","Trim Waste","Lunch",1.4,29,12,3
"118","Trim Waste","Lunch",1.4,29,12,3
"119","Trim Waste","Lunch",1.4,29,12,3
"120","Trim Waste","Lunch",22,29,12,3
"123","Trim Waste","Lunch",16.2,30,12,3
"127","Trim Waste","Lunch",5.2,30,12,3
"128","Trim Waste","Lunch",5.2,30,12,3
"142","Trim Waste","Lunch",2,32,12,3
"143","Trim Waste","Lunch",2,32,12,3
"144","Trim Waste","Lunch",2,32,12,3
"145","Trim Waste","Lunch",2,32,12,3
"147","Trim Waste","Lunch",14,32,12,3
"150","Trim Waste","Lunch",3.6,32,12,3
"151","Trim Waste","Lunch",3.6,32,12,3
"152","Trim Waste","Lunch",3.6,32,12,3
"153","Trim Waste","Lunch",3.6,32,12,3
"154","Trim Waste","Lunch",3.6,32,12,3
"155","Trim Waste","Lunch",3.6,32,12,3
"156","Trim Waste","Lunch",3.6,32,12,3
"157","Trim Waste","Lunch",3.6,32,12,3
"158","Trim Waste","Lunch",3.6,32,12,3
"159","Trim Waste","Lunch",20.5,32,12,3
"160","Trim Waste","Lunch",20.5,32,12,3
"169","Trim Waste","Dinner",4,33,12,2
"177","Trim Waste","Breakfast",1,34,12,1
"193","Trim Waste","Lunch",1,35,12,3
"194","Trim Waste","Lunch",1,35,12,3
"211","Trim Waste","Breakfast",14.6,38,12,1
"222","Trim Waste","Breakfast",15.4440579710145,49,12,1
"223","Trim Waste","Breakfast",3,49,12,1
"224","Trim Waste","Breakfast",3,49,12,1
"229","Trim Waste","Breakfast",2.2,49,12,1
"234","Trim Waste","Lunch",7,57,12,3
"235","Trim Waste","Lunch",7,57,12,3
"236","Trim Waste","Lunch",7,57,12,3
"237","Trim Waste","Lunch",7,57,12,3
"238","Trim Waste","Lunch",7,57,12,3
"239","Trim Waste","Lunch",7,57,12,3
"255","Trim Waste","Breakfast",23,58,12,1
"256","Trim Waste","Breakfast",9.2,58,12,1
"257","Trim Waste","Breakfast",9.2,58,12,1
"259","Trim Waste","Breakfast",16,59,12,1
"261","Trim Waste","Breakfast",18.2,59,12,1
"266","Trim Waste","Breakfast",40,59,12,1
"270","Trim Waste","Dinner",0.5,60,12,2
"271","Trim Waste","Dinner",0.5,60,12,2
"272","Trim Waste","Dinner",0.5,60,12,2
"273","Trim Waste","Dinner",0.5,60,12,2
"284","Trim Waste","Dinner",1,61,12,2
"285","Trim Waste","Dinner",1,61,12,2
"288","Trim Waste","Lunch",6,61,12,3
"301","Trim Waste","Lunch",31,63,12,3
"310","Trim Waste","Lunch",21.4,63,12,3
"311","Trim Waste","Lunch",21.4,63,12,3
"320","Trim Waste","Breakfast",4.2,64,12,1
"336","Trim Waste","Breakfast",12.2,64,12,1
"337","Trim Waste","Breakfast",12.2,64,12,1
"338","Trim Waste","Breakfast",12.2,64,12,1
"346","Trim Waste","Breakfast",1,67,12,1
"347","Trim Waste","Breakfast",1,67,12,1
"348","Trim Waste","Breakfast",1,67,12,1
"359","Trim Waste","Lunch",3.2,69,12,3
"373","Trim Waste","Lunch",5.2,69,12,3
"378","Trim Waste","Lunch",40,70,12,3
"379","Trim Waste","Lunch",40,70,12,3
"380","Trim Waste","Lunch",40,70,12,3
"384","Trim Waste","Lunch",26,70,12,3
"385","Trim Waste","Lunch",26,70,12,3
"391","Trim Waste","Lunch",5,70,12,3
"392","Trim Waste","Lunch",5,70,12,3
"393","Trim Waste","Lunch",5,70,12,3
"409","Trim Waste","Dinner",11.2,73,12,2
"410","Trim Waste","Dinner",15.4440579710145,74,12,2
"417","Trim Waste","Dinner",9.5,75,12,2
"423","Trim Waste","Dinner",5,76,12,2
"432","Trim Waste","Lunch",2,76,12,3
"441","Trim Waste","Lunch",25,78,12,3
"442","Trim Waste","Lunch",6.2,78,12,3
"445","Trim Waste","Breakfast",3,82,12,1
"446","Trim Waste","Breakfast",3,82,12,1
"455","Trim Waste","Breakfast",3,84,12,1
"458","Trim Waste","Breakfast",14,85,12,1
"459","Trim Waste","Breakfast",18,85,12,1
"460","Trim Waste","Breakfast",18,85,12,1
"462","Trim Waste","Breakfast",29,85,12,1
"463","Trim Waste","Breakfast",29,85,12,1
"467","Trim Waste","Lunch",28,85,12,3
"468","Trim Waste","Lunch",28,85,12,3
"469","Trim Waste","Lunch",28,85,12,3
"470","Trim Waste","Lunch",28,85,12,3
"507","Trim Waste","Dinner",25,152,12,2
"508","Trim Waste","Dinner",25,152,12,2
"520","Trim Waste","Dinner",20,152,12,2
"540","Trim Waste","Lunch",32.5,161,12,3
"546","Trim Waste","Dinner",15.4440579710145,161,12,2
"547","Trim Waste","Lunch",8,161,12,3
"548","Trim Waste","Lunch",8,161,12,3
"566","Trim Waste","Breakfast",7,162,12,1
"567","Trim Waste","Breakfast",7,162,12,1
"572","Trim Waste","Dinner",24,162,12,2
"579","Trim Waste","Breakfast",37,163,12,1
"584","Trim Waste","Dinner",20,163,12,2
"587","Trim Waste","Breakfast",26,166,12,1
"588","Trim Waste","Breakfast",26,166,12,1
"589","Trim Waste","Breakfast",26,166,12,1
"590","Trim Waste","Breakfast",26,166,12,1
"591","Trim Waste","Breakfast",26,166,12,1
"592","Trim Waste","Breakfast",26,166,12,1
"593","Trim Waste","Breakfast",26,166,12,1
"594","Trim Waste","Breakfast",26,166,12,1
"602","Trim Waste","Lunch",22,166,12,3
"613","Trim Waste","Lunch",17,167,12,3
"614","Trim Waste","Lunch",19,167,12,3
"628","Trim Waste","Lunch",4,167,12,3
"633","Trim Waste","Lunch",24,167,12,3
"634","Trim Waste","Lunch",30,167,12,3
"646","Trim Waste","Lunch",28,170,12,3
"651","Trim Waste","Dinner",23,170,12,2
